k,top_n,val_accuracy,val_macro_f1,val_weighted_f1,num_centroids
3,1,0.7411242603550295,0.7439817764750861,0.7403875373922723,12
4,3,0.7381656804733728,0.7405549488278996,0.7362519105059141,16
2,1,0.7381656804733728,0.740425192377146,0.7364614067126204,8
4,5,0.7381656804733728,0.740127760983171,0.7358053317494232,16
5,1,0.7366863905325444,0.7382254609938295,0.7362907754499886,20
3,5,0.7307692307692307,0.7324634695100277,0.7276554621674939,12
5,3,0.7292899408284024,0.7323889653932777,0.7279025148745906,20
4,7,0.7292899408284024,0.7308959708411451,0.7253350911890509,16
4,1,0.727810650887574,0.7298544185168593,0.7267287037703809,16
1,1,0.7233727810650887,0.7258620965725837,0.7205397578348055,4
1,3,0.7233727810650887,0.7258620965725837,0.7205397578348055,4
3,3,0.7233727810650887,0.7252845137759675,0.7195390823122281,12
3,9,0.7233727810650887,0.7248452061762181,0.7197460000603848,12
5,5,0.7204142011834319,0.7243730308448001,0.7179367466020089,20
3,7,0.7189349112426036,0.7195337194343041,0.714315084740656,12
5,7,0.7159763313609467,0.7190129707442154,0.7126088581115999,20
4,9,0.7159763313609467,0.7175173431130086,0.7114822941417073,16
5,9,0.7144970414201184,0.7173638543163684,0.7107668029014675,20
2,3,0.7115384615384616,0.713626636224149,0.7066554026918423,8
2,7,0.7100591715976331,0.7115675790902842,0.7049773720479199,8
2,5,0.7100591715976331,0.711545092558224,0.7049593991276881,8
